No,Kategori / Indikator,Sub Indikator,Satuan,2020,2021,2022,2023,2024
1,Jumlah Produksi Padi,Kabupaten Tulungagung,Ton,313.833.19,340.671.99,310.892.39,285.439.44,257.034.93
2,Jumlah Panen Tanaman Buah,Alpukat,Pohon/Rmp,41.142.00,71.080.00,134.330.00,118.054.00,124.038.00
3,Jumlah Panen Tanaman Buah,Rambutan,Pohon/Rmp,52.493.00,44.165.00,39.900.00,28.028.00,24.814.00
4,Jumlah Panen Tanaman Buah,Duku,Pohon/Rmp,7.863.00,7.698.00,1.627.00,840,907
5,Jumlah Panen Tanaman Buah,Jeruk Siam,Pohon/Rmp,318.440.00,108.894.00,115.721.00,,110.430.00
6,Jumlah Panen Tanaman Buah,Durian,Pohon/Rmp,7.913.00,2.005.00,26.311.00,,9.874.00
7,Jumlah Panen Tanaman Buah,Jambu Air,Pohon/Rmp,2.403.00,3.497.00,6.634.00,6.189.00,7.151.00
8,Jumlah Panen Tanaman Buah,Jambu Biji,Pohon/Rmp,15.334.00,6.613.00,6.263.00,5.588.00,5.085.00
9,Jumlah Panen Tanaman Buah,Sawo,Pohon/Rmp,8.859.00,9.839.00,9.724.00,9.299.00,8.145.00
10,Jumlah Panen Tanaman Buah,Pepaya,Pohon/Rmp,164.127.00,55.162.00,25.085.00,20.644.00,21.633.00
11,Jumlah Panen Tanaman Buah,Pisang,Pohon/Rmp,802.886.00,513.743.00,557.818.00,,438.721.00
12,Jumlah Panen Tanaman Buah,Nanas,Pohon/Rmp,0,0,64,69,16
13,Jumlah Panen Tanaman Buah,Salak,Pohon/Rmp,39.535.00,11.011.00,11.596.00,3.765.00,7.741.00
14,Jumlah Panen Tanaman Buah,Belimbing,Pohon/Rmp,139.713.00,52.776.00,49.910.00,,46.828.00
15,Jumlah Panen Tanaman Buah,Nangka,Pohon/Rmp,31.936.00,26.094.00,67.904.00,31.665.00,36.111.00
16,Jumlah Panen Tanaman Buah,Manggis,Pohon/Rmp,2.936.00,2.343.00,90,1.020.00,2.609.00
17,Jumlah Panen Tanaman Buah,Sirsak,Pohon/Rmp,5.151.00,3.886.00,4.978.00,,5.049.00
18,Jumlah Panen Tanaman Buah,Sukun,Pohon/Rmp,14.879.00,6.554.00,8.899.00,8.810.00,8.981.00
19,Jumlah Panen Tanaman Buah,Mangga,Pohon/Rmp,121.203.00,62.626.00,96.664.00,76.766.00,86.801.00
20,Jumlah Produksi Tanaman Buah,Mangga,Kw,50.116.00,46.832.24,194.037.89,52.211.67,63.462.58
21,Jumlah Produksi Tanaman Buah,Alpukat,Kw,15.208.00,24.776.26,31.816.91,,167.872.08
22,Jumlah Produksi Tanaman Buah,Duku,Kw,1.280.00,1.612.35,2.024.47,1.500.63,1.107.04
23,Jumlah Produksi Tanaman Buah,Jeruk Siam,Kw,103.850.00,393.007.00,3.321.098.40,,274.288.04
24,Jumlah Produksi Tanaman Buah,Durian,Kw,3.663.00,1.789.82,21.953.37,24.132.29,8.211.51
25,Jumlah Produksi Tanaman Buah,Jambu Air,Kw,1.951.00,2.340.88,9.232.68,13.624.12,7.559.25
26,Jumlah Produksi Tanaman Buah,Jambu Biji,Kw,4.076.00,9.182.72,11.057.11,12.391.97,10.427.66
27,Jumlah Produksi Tanaman Buah,Sawo,Kw,3.956.00,3.513.43,3.654.68,,9.137.31
28,Jumlah Produksi Tanaman Buah,Pepaya,Kw,47.717.00,50.941.10,17.908.03,25.586.99,15.566.70
29,Jumlah Produksi Tanaman Buah,Pisang,Kw,145.948.00,230.170.84,549.797.00,,235.365.48
30,Jumlah Produksi Tanaman Buah,Nanas,Kw,0,0,6,12.88,2.8
31,Jumlah Produksi Tanaman Buah,Salak,Kw,3.262.00,1.090.41,2.424.19,2.529.81,3.179.50
32,Jumlah Produksi Tanaman Buah,Belimbing,Kw,56.011.00,103.994.25,118.971.12,,69.571.68
33,Jumlah Produksi Tanaman Buah,Nangka,Kw,20.638.00,33.154.79,73.236.41,,22.554.19
34,Jumlah Produksi Tanaman Buah,Manggis,Kw,672,420.24,11.64,284.1,434.42
35,Jumlah Produksi Tanaman Buah,Sirsak,Kw,997,1.724.10,3.502.74,,7.238.96
36,Jumlah Produksi Tanaman Buah,Sukun,Kw,9.469.00,8.304.14,12.509.40,,7.269.82
37,Jumlah Produksi Tanaman Buah,Rambutan,Kw,33.195.00,40.710.75,23.483.86,,12.265.80
38,Luas Areal Tanaman Tahunan,Kelapa,Ha,10.781.00,8.413.00,10.631.80,9.059.18,7.704.15
39,Luas Areal Tanaman Tahunan,Kopi,Ha,753.6,663,318.27,211.61,240.61
40,Luas Areal Tanaman Tahunan,Teh,Ha,0,0,0,0,0
41,Luas Areal Tanaman Tahunan,Kakao,Ha,1.261.50,1.249.00,952.3,899.5,811.6
42,Luas Areal Tanaman Tahunan,Cengkeh,Ha,1.484.50,1.353.00,947.05,793.5,717
43,Luas Areal Tanaman Semusim,Tembakau,Ha,1.229.00,1.382.00,101,1.017.00,1.287.00
44,Luas Areal Tanaman Semusim,Tebu,Ha,4.654.00,3.661.02,3.381.81,3.260.80,3.652.62
45,Jumlah Produksi Tanaman Tahunan,Kelapa,Ton,5.231.00,7.230.64,6.234.16,1.037.898.60,3.920.00
46,Jumlah Produksi Tanaman Tahunan,Kopi,Ton,215.44,345.98,113.05,126.9,99.91
47,Jumlah Produksi Tanaman Tahunan,Teh,Ton,-,-,0,0,0
48,Jumlah Produksi Tanaman Tahunan,Kakao,Ton,426.43,544.77,285.65,3.585.36,206.42
49,Jumlah Produksi Tanaman Tahunan,Cengkeh,Ton,448.07,387.78,227.5,730.02,215.1
