Kategori / Indikator,Sub Indikator,Satuan,2020,2021,2022,2023,2024
Jumlah Produksi Padi,Kabupaten Tulungagung,Ton,313833.19,340671.99,310892.39,285439.44,257034.93
Jumlah Panen Tanaman Buah,Alpukat,Pohon/Rmp,41142.0,71080.0,134330.0,118054.0,124038.0
Jumlah Panen Tanaman Buah,Rambutan,Pohon/Rmp,52493.0,44165.0,39900.0,28028.0,24814.0
Jumlah Panen Tanaman Buah,Duku,Pohon/Rmp,7863.0,7698.0,1627.0,840.0,907.0
Jumlah Panen Tanaman Buah,Jeruk Siam,Pohon/Rmp,318440.0,108894.0,115721.0,3765.0,110430.0
Jumlah Panen Tanaman Buah,Durian,Pohon/Rmp,7913.0,2005.0,26311.0,3765.0,9874.0
Jumlah Panen Tanaman Buah,Jambu Air,Pohon/Rmp,2403.0,3497.0,6634.0,6189.0,7151.0
Jumlah Panen Tanaman Buah,Jambu Biji,Pohon/Rmp,15334.0,6613.0,6263.0,5588.0,5085.0
Jumlah Panen Tanaman Buah,Sawo,Pohon/Rmp,8859.0,9839.0,9724.0,9299.0,8145.0
Jumlah Panen Tanaman Buah,Pepaya,Pohon/Rmp,164127.0,55162.0,25085.0,20644.0,21633.0
Jumlah Panen Tanaman Buah,Pisang,Pohon/Rmp,802886.0,513743.0,557818.0,3765.0,438721.0
Jumlah Panen Tanaman Buah,Nanas,Pohon/Rmp,0.0,0.0,64.0,69.0,16.0
Jumlah Panen Tanaman Buah,Salak,Pohon/Rmp,39535.0,11011.0,11596.0,3765.0,7741.0
Jumlah Panen Tanaman Buah,Belimbing,Pohon/Rmp,139713.0,52776.0,49910.0,3765.0,46828.0
Jumlah Panen Tanaman Buah,Nangka,Pohon/Rmp,31936.0,26094.0,67904.0,31665.0,36111.0
Jumlah Panen Tanaman Buah,Manggis,Pohon/Rmp,2936.0,2343.0,90.0,1020.0,2609.0
Jumlah Panen Tanaman Buah,Sirsak,Pohon/Rmp,5151.0,3886.0,4978.0,3765.0,5049.0
Jumlah Panen Tanaman Buah,Sukun,Pohon/Rmp,14879.0,6554.0,8899.0,8810.0,8981.0
Jumlah Panen Tanaman Buah,Mangga,Pohon/Rmp,121203.0,62626.0,96664.0,76766.0,86801.0
Jumlah Produksi Tanaman Buah,Mangga,Kw,50116.0,46832.24,194037.89,52211.67,63462.58
Jumlah Produksi Tanaman Buah,Alpukat,Kw,15208.0,24776.26,31816.91,3765.0,167872.08
Jumlah Produksi Tanaman Buah,Duku,Kw,1280.0,1612.35,2024.47,1500.63,1107.04
Jumlah Produksi Tanaman Buah,Jeruk Siam,Kw,103850.0,393007.0,3321098.4,3765.0,274288.04
Jumlah Produksi Tanaman Buah,Durian,Kw,3663.0,1789.82,21953.37,24132.29,8211.51
Jumlah Produksi Tanaman Buah,Jambu Air,Kw,1951.0,2340.88,9232.68,13624.12,7559.25
Jumlah Produksi Tanaman Buah,Jambu Biji,Kw,4076.0,9182.72,11057.11,12391.97,10427.66
Jumlah Produksi Tanaman Buah,Sawo,Kw,3956.0,3513.43,3654.68,3765.0,9137.31
Jumlah Produksi Tanaman Buah,Pepaya,Kw,47717.0,50941.1,17908.03,25586.99,15566.7
Jumlah Produksi Tanaman Buah,Pisang,Kw,145948.0,230170.84,549797.0,3765.0,235365.48
Jumlah Produksi Tanaman Buah,Nanas,Kw,0.0,0.0,6.0,12.88,2.8
Jumlah Produksi Tanaman Buah,Salak,Kw,3262.0,1090.41,2424.19,2529.81,3179.5
Jumlah Produksi Tanaman Buah,Belimbing,Kw,56011.0,103994.25,118971.12,3765.0,69571.68
Jumlah Produksi Tanaman Buah,Nangka,Kw,20638.0,33154.79,73236.41,3765.0,22554.19
Jumlah Produksi Tanaman Buah,Manggis,Kw,672.0,420.24,11.64,284.1,434.42
Jumlah Produksi Tanaman Buah,Sirsak,Kw,997.0,1724.1,3502.74,3765.0,7238.96
Jumlah Produksi Tanaman Buah,Sukun,Kw,9469.0,8304.14,12509.4,3765.0,7269.82
Jumlah Produksi Tanaman Buah,Rambutan,Kw,33195.0,40710.75,23483.86,3765.0,12265.8
Luas Areal Tanaman Tahunan,Kelapa,Ha,10781.0,8413.0,10631.8,9059.18,7704.15
Luas Areal Tanaman Tahunan,Kopi,Ha,753.6,663.0,318.27,211.61,240.61
Luas Areal Tanaman Tahunan,Teh,Ha,0.0,0.0,0.0,0.0,0.0
Luas Areal Tanaman Tahunan,Kakao,Ha,1261.5,1249.0,952.3,899.5,811.6
Luas Areal Tanaman Tahunan,Cengkeh,Ha,1484.5,1353.0,947.05,793.5,717.0
Luas Areal Tanaman Semusim,Tembakau,Ha,1229.0,1382.0,101.0,1017.0,1287.0
Luas Areal Tanaman Semusim,Tebu,Ha,4654.0,3661.02,3381.81,3260.8,3652.62
Jumlah Produksi Tanaman Tahunan,Kelapa,Ton,5231.0,7230.64,6234.16,1037898.6,3920.0
Jumlah Produksi Tanaman Tahunan,Kopi,Ton,215.44,345.98,113.05,126.9,99.91
Jumlah Produksi Tanaman Tahunan,Teh,Ton,9469.0,7464.32,0.0,0.0,0.0
Jumlah Produksi Tanaman Tahunan,Kakao,Ton,426.43,544.77,285.65,3585.36,206.42
Jumlah Produksi Tanaman Tahunan,Cengkeh,Ton,448.07,387.78,227.5,730.02,215.1
Nilai Produksi Tanaman Tahunan,Kelapa,Rp,104620000000.0,28200900000.0,124683172.0,20757972000000.0,431200000.0
Nilai Produksi Tanaman Tahunan,Kopi,Rp,5386075000.0,13839200000.0,3391500000.0,3807000000.0,6993700.0
Nilai Produksi Tanaman Tahunan,Teh,Rp,9469.0,7464.32,0.0,0.0,0.0
Nilai Produksi Tanaman Tahunan,Kakao,Rp,8954925000.0,16350000000.0,5998612.0,75292560000.0,20382000.0
Nilai Produksi Tanaman Tahunan,Cengkeh,Rp,28945580400.0,31014240.0,26161925.0,131403600000.0,27950000.0
Jumlah Produksi Tanaman Semusim,Tembakau,Ton,221.0,2129.65,113.07,1632.33,2076.96
Jumlah Produksi Tanaman Semusim,Tebu,Ton,418305.0,309883.78,28577.7,302255.6,337930.59
Nilai Produksi Tanaman Semusim,Tembakau,Rp,10178098000.0,7464.32,11307400.0,179557400000.0,5085.0
Nilai Produksi Tanaman Semusim,Tebu,Rp,2007864960000.0,232413000000.0,17146621.0,241804481600.0,5085.0
Jumlah Ketersediaan Alat Mesin Pertanian,Kabupaten Tulungagung,Unit,79078.0,69451.0,12509.4,63394.0,54563.0
Jumlah Ketersediaan Obat Anti Hama,Insektisida Cair,L,2844.0,1325.0,0.0,0.0,0.0
Jumlah Ketersediaan Obat Anti Hama,Fungisida Cair,L,9469.0,7464.32,1085.0,550.0,0.0
Jumlah Ketersediaan Obat Anti Hama,Pestisida Cair,L,9469.0,7464.32,0.0,0.0,0.0
Jumlah Ketersediaan Obat Anti Hama,Insektisida Padat,Kg,9469.0,7464.32,1755.0,650.0,1400.0
